Resort,City,State,Country,Region
Dartmouth Skiway,Lyme,NH,USA,East Coast
Granite Gorge,Keene,NH,USA,East Coast
Gunstock Mountain Resort,Gilford,NH,USA,East Coast
Loon Mountain,Lincoln,NH,USA,East Coast
McIntyre Ski Area,Manchester,NH,USA,East Coast
Mount Prospect,Lancaster,NH,USA,East Coast
Mount Sunapee Resort,Sunapee,NH,USA,East Coast
Pats Peak,Henniker,NH,USA,East Coast
Ragged Mountain,Danbury,NH,USA,East Coast
Tenney Mountain Ski Resort,Plymouth,NH,USA,East Coast
Waterville Valley Resort,Waterville Valley,NH,USA,East Coast
Whaleback,Enfield,NH,USA,East Coast
Yawgoo Valley,Exeter,RI,USA,East Coast
Bolton Valley Resort,Bolton Valley,VT,USA,East Coast
Bromley Mountain,Peru,VT,USA,East Coast
Burke Mountain,East Burke,VT,USA,East Coast
Cochrans Ski Area,Richmond,VT,USA,East Coast
Jay Peak Resort,Jay,VT,USA,East Coast
Killington Ski Resort,Killington,VT,USA,East Coast
Mad River Glen,Fayston,VT,USA,East Coast
Magic Mountain,Londonderry,VT,USA,East Coast
Middlebury College Snow Bowl,Hancock,VT,USA,East Coast
Mount Snow,West Dover,VT,USA,East Coast
Okemo Mountain,Ludlow,VT,USA,East Coast
Quechee Lakes Ski Area,Quechee,VT,USA,East Coast
Smugglers Notch,Jeffersonville,VT,USA,East Coast
Stowe Mountain Resort,Stowe,VT,USA,East Coast
Stratton Mountain Resort,Stratton Mountain,VT,USA,East Coast
Sugarbush Resort,Warren,VT,USA,East Coast
Suicide Six,South Pomfret,VT,USA,East Coast
Wisp Ski Resort,McHenry,MD,USA,East Coast
Campgaw Mountain,Mahwah,NJ,USA,East Coast
Hidden Valley,Vernon,NJ,USA,East Coast
Mountain Creek,Vernon,NJ,USA,East Coast
Beartown Ski Area,Plattsburg,NY,USA,East Coast
Bellayre Ski Center,Highmount,NY,USA,East Coast
Big Tupper Ski Area,Tupper Lake,NY,USA,East Coast
Brantling Ski Slopes,Sodus,NY,USA,East Coast
Buffalo Ski Club,Colden,NY,USA,East Coast
Catamount Ski Area,Hillsdale,NY,USA,East Coast
Dry Hill Ski Area,Watertown,NY,USA,East Coast
Gore Mountain,North Creek,NY,USA,East Coast
Greek Peak,Virgil,NY,USA,East Coast
Holiday Valley,Ellicottville,NY,USA,East Coast
Holiday Mountain Ski and Fun,Monticello,NY,USA,East Coast
Holimont,Ellicottville,NY,USA,East Coast
Hunter Mountain,Hunter,NY,USA,East Coast
Kissing Bridge,Colden,NY,USA,East Coast
Labrador Mountain,Truxton,NY,USA,East Coast
Mount Peter Ski Area,Warwick,NY,USA,East Coast
McCauley Mountain,Old Forge,NY,USA,East Coast
Peek n Peak,Clymer,NY,USA,East Coast
Plattekill Mountain,Roxbury,NY,USA,East Coast
Royal Mountain,Caroga Lake,NY,USA,East Coast
Song Mountain Resort,Tully,NY,USA,East Coast
Snow Ridge Ski Resort,Turin,NY,USA,East Coast
Swain,Swain,NY,USA,East Coast
Thunder Ridge Ski Area,Patterson,NY,USA,East Coast
Titus Mountain,Malone,NY,USA,East Coast
Toggenburg Mountain,Fabius,NY,USA,East Coast
Tuxedo Ridge Ski Center,Tuxedo,NY,USA,East Coast
West Mountain,Glens Falls,NY,USA,East Coast
Willard Mountain,Greenwich,NY,USA,East Coast
Whiteface Mountain,Wilmington,NY,USA,East Coast
Windham Mountain,Windham,NY,USA,East Coast
Woods Valley Ski Resort,Westernville,NY,USA,East Coast
